country,current_rates_mean,current_cases_mean,lancet_rates_mean,lancet_cases_mean,current_rates_quantile_low,current_cases_quantile_low,lancet_rates_quantile_low,lancet_cases_quantile_low,current_rates_quantile_high,current_cases_quantile_high,lancet_rates_quantile_high,lancet_cases_quantile_high
AGO,2.08E-05,618.2378815,8.67E-05,2634.33076,0,0,8.58E-05,2604.820893,7.95E-05,2368.969609,8.77E-05,2664.028432
BDI,4.64E-05,504.4742253,5.92E-05,652.5936635,8.26E-06,89.76670772,5.75E-05,634.3730077,0.00010644,1156.387821,6.09E-05,671.0633119
BEN,1.61E-05,179.8972049,4.63E-05,525.6488758,1.04E-09,0.011590966,4.54E-05,515.2100258,7.58E-05,847.2840047,4.72E-05,535.4977717
BFA,3.28E-09,0.063905469,2.95E-06,57.61112989,1.78E-79,3.48E-72,2.71E-06,52.78925259,9.33E-09,0.181904089,3.21E-06,62.68367902
CAF,7.66E-06,35.67944997,3.55E-05,165.6553898,1.27E-09,0.0059236,3.33E-05,155.1773315,3.87E-05,180.2495748,3.76E-05,175.4914852
CIV,1.56E-06,37.91526554,2.01E-05,498.0786097,1.97E-07,4.774786461,1.95E-05,482.8414063,5.71E-06,138.7693179,2.06E-05,511.962872
CMR,2.34E-05,562.3344218,0.000303815,7571.711544,8.41E-07,20.23996824,0.000301965,7525.600739,6.43E-05,1546.305021,0.000305715,7619.055453
COD,0.000603173,49062.09819,0.00028272,23438.32986,0.00044119,35886.4035,0.000281514,23338.33557,0.000854505,69505.46599,0.000283915,23537.36457
COG,4.05E-06,21.2836954,0.000122157,633.6385734,0,0,0.000119356,619.1099887,1.82E-05,95.76005777,0.000124927,648.0090021
ETH,0.000173769,18238.3778,6.91E-05,7455.459869,7.30E-06,765.7372942,6.84E-05,7383.211084,0.00054704,57415.96243,6.98E-05,7531.202858
GHA,5.86E-06,168.9656849,0.000368779,10864.61949,9.44E-09,0.272088025,0.000367162,10816.98869,1.68E-05,483.4152091,0.000370333,10910.39962
GNB,3.91E-08,0.07245397,0.000462559,856.9385156,1.01E-27,1.88E-21,0.000449992,833.6566698,2.42E-07,0.449233913,0.000474598,879.2420998
KEN,0.000153932,7650.411787,0.000138793,7054.111178,8.43E-05,4187.263438,0.000137283,6977.394324,0.000216533,10761.67729,0.000140247,7128.010353
LBR,1.66E-05,79.17785596,0.000101029,481.3962752,9.24E-15,4.40E-08,9.77E-05,465.3854954,0.000157497,750.4644637,0.00010458,498.3170881
MLI,3.74E-09,0.070394038,3.60E-05,678.9357992,2.30E-17,4.33E-10,3.53E-05,664.5324551,1.74E-08,0.327705929,3.69E-05,694.4880741
MOZ,0.000187257,5555.698484,0.000118294,3448.105003,2.94E-05,872.9410921,0.000117302,3419.20891,0.000310418,9209.744838,0.000119336,3478.497668
MRT,1.87E-07,0.825091652,9.92E-06,43.15106261,0,0,8.58E-06,37.31662214,2.76E-07,1.219790252,1.15E-05,49.83358287
MWI,5.51E-05,1026.140687,3.96E-05,710.3274788,1.41E-06,26.20831057,3.89E-05,697.7238591,0.000127752,2379.014495,4.04E-05,723.9638518
NER,0.000116242,2496.577331,7.07E-05,1563.73909,7.64E-10,0.016407902,6.99E-05,1544.258137,0.000581789,12495.28505,7.15E-05,1581.145998
NGA,6.90E-05,13166.7719,0.000107038,20726.60689,3.85E-06,734.3943732,0.000106682,20657.83046,0.000170461,32538.64727,0.000107412,20799.04491
RWA,5.92E-06,72.27355708,1.13E-05,137.9863322,0,0,1.04E-05,126.7853527,2.96E-05,361.2947545,1.23E-05,149.8388799
SDN,3.77E-05,1528.638216,2.93E-05,1213.015046,0,0,2.76E-05,1141.190105,0.000145328,5890.619872,3.09E-05,1279.206998
SEN,1.94E-07,3.071226105,7.53E-07,11.7896147,0,0,4.66E-07,7.302581666,8.42E-07,13.34059618,1.03E-06,16.05522625
SLE,9.83E-08,0.744599046,0.001736464,13152.75599,6.38E-79,4.83E-72,0.001726597,13078.01529,4.79E-08,0.36281783,0.001746623,13229.70587
SOM,0.001525907,22495.72634,0.001492716,22159.68762,0.000335116,4940.453132,0.001486838,22072.42046,0.00521532,76886.96863,0.001498381,22243.78952
SSD,0.000498293,6266.384633,0.000413024,4524.547352,1.84E-10,0.00231891,0.000406576,4453.914041,0.001529981,19240.60553,0.000419408,4594.482762
SWZ,5.16E-07,0.5836936,5.16E-07,0.5836936,5.16E-07,0.5836936,5.16E-07,0.5836936,5.16E-07,0.5836936,5.16E-07,0.5836936
TCD,2.40E-05,357.6622955,0.000583175,8904.162491,4.14E-11,0.000616331,0.000578548,8833.509769,0.00010767,1604.27646,0.000587846,8975.470488
TGO,1.18E-06,9.180302708,1.33E-05,104.0546219,1.66E-45,1.29E-38,1.25E-05,97.66375292,7.52E-06,58.65523818,1.42E-05,110.7908488
TZA,0.000212391,12172.12274,0.000151028,8398.421308,3.93E-05,2254.379226,0.000149549,8316.191138,0.000596225,34169.65523,0.000152196,8463.356677
UGA,3.96E-05,1699.355781,2.71E-05,1136.649161,1.13E-05,485.4122327,2.67E-05,1119.360159,8.86E-05,3797.958956,2.75E-05,1154.02091
ZAF,8.13E-07,46.6405876,1.07E-06,61.07591624,3.74E-14,2.15E-06,6.47E-07,37.08121577,8.16E-06,467.9881162,1.50E-06,86.20073195
ZMB,0.000110416,1887.468529,0.000134095,2297.266138,1.81E-06,30.99037771,0.000131358,2250.386508,0.000245743,4200.755506,0.00013685,2344.464327
ZWE,0.000132625,2192.285547,3.23E-05,463.0868469,0,0,3.14E-05,449.9131659,0.000654909,10825.57973,3.33E-05,477.009232
GIN,8.00E-08,1.017551922,0.000229606,2813.755,4.07E-10,0.005172987,0.000182363,2234.801,6.27E-08,0.796885606,0.000256567,3144.157
ZNZ,0.001303276,891.0326277,NA,NA,0,0,NA,NA,0.003759023,2569.995177,NA,NA
TZA_M,0.00019922,11281.09011,NA,NA,3.98E-05,2254.379226,NA,NA,0.000585677,33164.74657,NA,NA