"","country","current_rates_mean","current_cases_mean","lancet_rates_mean","lancet_cases_mean","current_rates_quantile_low","current_cases_quantile_low","lancet_rates_quantile_low","lancet_cases_quantile_low","current_rates_quantile_high","current_cases_quantile_high","lancet_rates_quantile_high","lancet_cases_quantile_high"
"2.5%","AGO",1.22742246766186e-05,372.833551401086,8.67260135158194e-05,2634.33075977139,2.45103819133875e-07,7.44510791982886,8.57545056321375e-05,2604.820893036,6.72528257031366e-05,2042.8263706483,8.77037042370479e-05,2664.0284322005
"2.5%1","BDI",3.83906519485099e-05,423.272581922991,5.91899812799705e-05,652.593663529047,2.46286588065163e-05,271.540999520306,5.75373751694072e-05,634.373007723096,6.18057007018615e-05,681.433036061059,6.08651709160472e-05,671.063311906569
"2.5%2","BEN",1.81099733132864e-05,205.540590917009,4.63143901199375e-05,525.64887581744,1.27834015905464e-11,0.000145086239024034,4.53946336163416e-05,515.210025799358,0.000179383554069599,2035.92799759724,4.71821663642201e-05,535.497771724025
"2.5%3","BFA",3.27603642974221e-09,0.0639054690050505,2.95336476247927e-06,57.6111298933508,1.78490604940073e-79,3.48180677056395e-72,2.70617706542582e-06,52.7892525878769,9.32509269858604e-09,0.181904089041405,3.21340284683709e-06,62.6836790229003
"2.5%4","CAF",1.41635691957636e-05,66.023017490053,3.55371757481128e-05,165.655389791616,3.79362698566331e-19,1.76838689007925e-12,3.32893732440636e-05,155.177331472572,0.000103059970306997,480.410702137031,3.76472613459768e-05,175.491485228277
"2.5%5","CIV",3.01881544914762e-06,74.8732992492267,2.00820241255342e-05,498.078609709601,9.09148660925132e-13,2.25488973732069e-05,1.94676755474638e-05,482.841406341574,2.93417517079329e-05,727.740331640638,2.0641823491307e-05,511.962871977065
"2.5%6","CMR",4.83054296373615e-05,1203.87371407388,0.000303814905972502,7571.71154443541,3.18289981996e-05,793.246112610214,0.000301964710041853,7525.60073942825,7.86393259618912e-05,1959.85871834137,0.00030571458016173,7619.05545254025
"2.5%7","COD",0.000635384657758946,52675.2739498809,0.000282720033127192,23438.3298593025,7.90532563073995e-05,6553.74957794814,0.000281513872619376,23338.3355733202,0.00330467012862102,273966.961923624,0.000283914618960061,23537.3645703781
"2.5%8","COG",4.47698553288992e-06,23.2225380802618,0.000122156790796833,633.638573366322,2.6726322561478e-07,1.38631907311223,0.000119355879756097,619.10998871375,1.62830767361393e-05,84.4618252149526,0.000124927211552978,648.009002092367
"2.5%9","ETH",0.000268657754274903,28988.0421932245,6.90963222746449e-05,7455.45986900685,2.00668404095014e-05,2165.20240796812,6.84267290650866e-05,7383.21108443943,0.00122896077750878,132604.275534103,6.97982993623332e-05,7531.20285841546
"2.5%10","GHA",0.000368778798969682,10864.6194860769,0.000368778798969682,10864.6194860769,0.00036716206244566,10816.9886917042,0.00036716206244566,10816.9886917042,0.000370332718224523,10910.3996162338,0.000370332718224523,10910.3996162338
"2.5%11","GNB",3.91092909567034e-08,0.0724539701996162,0.000462559300011376,856.938515599326,1.01365321199679e-27,1.87789647467828e-21,0.000449992197380351,833.656669847332,2.42488020392617e-07,0.449233912799413,0.000474598355440772,879.242099785464
"2.5%12","KEN",0.00014768083988982,7505.85203100851,0.000138792645942456,7054.11117795273,0.000109667647671055,5573.83839787094,0.000137283209130844,6977.39432445588,0.000235103932987285,11949.1149578189,0.000140246643738475,7128.01035348881
"2.5%13","LBR",1.6616712896167e-05,79.1778559647297,0.000101028546386241,481.396275188757,9.24085987187016e-15,4.40322629690473e-08,9.76684335445527e-05,465.385495423417,0.000157496718991837,750.464463650313,0.00010457964392938,498.317088080229
"2.5%14","MLI",3.73546161284519e-09,0.0703940382081298,3.60277472340049e-05,678.935799158616,2.29822694400912e-17,4.3309634009144e-10,3.52634333774393e-05,664.532455101468,1.73897242923873e-08,0.327705928514352,3.68530291413289e-05,694.488074121602
"2.5%15","MOZ",0.000118293538786943,3448.10500332267,0.000118293538786943,3448.10500332267,0.000117302205525553,3419.20890964239,0.000117302205525553,3419.20890964239,0.000119336214646383,3478.4976679149,0.000119336214646383,3478.4976679149
"2.5%16","MRT",3.41832037153296e-07,1.48627954456586,9.92438851186255e-06,43.1510626105851,9.84294361171224e-16,4.27969416507398e-09,8.58251532403235e-06,37.3166221436168,2.06165474112021e-07,0.896403770460532,1.14613130578883e-05,49.8335828720633
"2.5%17","MWI",7.2138465744155e-05,1293.99310728633,3.95998511982588e-05,710.327478849423,5.89135881618311e-05,1056.77014641931,3.88972154709516e-05,697.723859148205,8.71328569468671e-05,1562.95694875583,4.03600616003385e-05,723.963851764079
"2.5%18","NER",0.000142181500960594,3142.80115336737,7.07441419713673e-05,1563.73909038433,1.05036940854983e-09,0.0232175224368121,6.98628163439358e-05,1544.2581369574,0.00104894208874455,23185.9727464518,7.15316369746082e-05,1581.14599766647
"2.5%19","NGA",4.30358612310055e-05,8333.40049721521,0.000107037622639421,20726.6068857347,3.82285877965433e-06,740.2527181727,0.000106682443152191,20657.8304553156,0.000164353926762391,31825.2512166347,0.000107411711558282,20799.0449105184
"2.5%20","RWA",9.90539586942542e-06,120.45592846208,1.13469653371838e-05,137.986332190558,2.66801663304047e-13,3.24447831183757e-06,1.04258804417952e-05,126.785352671012,0.000104504635996916,1270.84299542795,1.23216303362156e-05,149.838879927721
"2.5%21","SDN",2.93167987462209e-05,1213.0150457963,2.93167987462209e-05,1213.0150457963,2.75808950192205e-05,1141.19010484238,2.75808950192205e-05,1141.19010484238,3.09165613830659e-05,1279.20699823264,3.09165613830659e-05,1279.20699823264
"2.5%22","SEN",4.9026065473884e-07,7.67806526338936,7.52791754541351e-07,11.7896146983055,8.92512840418214e-20,1.39778131712293e-12,4.66285235396802e-07,7.30258166574404,6.63608701908428e-07,10.3929019662413,1.02516004545272e-06,16.0552262522437
"2.5%23","SLE",9.83040802271372e-08,0.744599045564198,0.00173646419257317,13152.7559940432,6.3818222815186e-79,4.83387746347817e-72,0.00172659671300274,13078.0152930135,4.79002400737121e-08,0.362817829725608,0.00174662333398867,13229.7058722605
"2.5%24","SOM",0.00155251813750702,23047.4601088777,0.0014927161949752,22159.6876238821,0.000877955165611654,13033.4301210225,0.00148683772268457,22072.4204594308,0.00567477999687729,84243.3092696127,0.00149838144880027,22243.7895151164
"2.5%25","SSD",0.000413023655920642,4524.54735234827,0.000413023655920642,4524.54735234827,0.000406575888632218,4453.91404116814,0.000406575888632218,4453.91404116814,0.000419407715231056,4594.48276218764,0.000419407715231056,4594.48276218764
"2.5%26","SWZ",5.15584386837045e-07,0.583693599922606,5.15584386837045e-07,0.583693599922606,5.15584386837045e-07,0.583693599922606,5.15584386837045e-07,0.583693599922606,5.15584386837045e-07,0.583693599922606,5.15584386837045e-07,0.583693599922606
"2.5%27","TCD",4.06671709085951e-05,620.923242308357,0.000583175299532746,8904.16249101527,1.38597367709632e-20,2.11616212809826e-13,0.000578547921923151,8833.50976931026,0.000446042707219139,6810.36516154532,0.000587845594164727,8975.47048762863
"2.5%28","TGO",1.17681863059191e-06,9.18030270790664,1.3338712403424e-05,104.054621854134,1.65682951644681e-45,1.29248433879109e-38,1.25194699590758e-05,97.6637529175174,7.51898703879118e-06,58.6552381807645,1.42022261204243e-05,110.790848753011
"2.5%29","TZA",0.000151027856523249,8398.42130789776,0.000151027856523249,8398.42130789776,0.000149549120725437,8316.19113845097,0.000149549120725437,8316.19113845097,0.000152195581895011,8463.35667723786,0.000152195581895011,8463.35667723786
"2.5%30","UGA",4.83935366266825e-05,2031.71666415345,2.70738896614547e-05,1136.64916067119,4.15657903708411e-05,1745.06586709317,2.66620822614429e-05,1119.36015855754,5.59123743469942e-05,2347.38170862552,2.74876680197899e-05,1154.02090996864
"2.5%31","ZAF",8.13297242455547e-07,46.6405876039881,1.06501390331367e-06,61.0759162381908,3.74389334281626e-14,2.14703033922009e-06,6.46605286910583e-07,37.0812157659606,8.16056280434573e-06,467.988116158819,1.50312895265134e-06,86.2007319544766
"2.5%32","ZMB",0.000134094754134533,2297.26613790067,0.000134094754134533,2297.26613790067,0.000131358322170853,2250.38650767648,0.000131358322170853,2250.38650767648,0.000136849780864446,2344.46432739353,0.000136849780864446,2344.46432739353
"2.5%33","ZWE",3.22961020118833e-05,463.086846938411,3.22961020118833e-05,463.086846938411,3.13773573970677e-05,449.913165896035,3.13773573970677e-05,449.913165896035,3.32670619293109e-05,477.009231952544,3.32670619293109e-05,477.009231952544
